point_of_sale_id,geo_zone,country
213,Provincia de Buenos Aires,AR
214,Buenos Aires,AR
215,Buenos Aires,AR
216,Buenos Aires,AR
217,Buenos Aires,AR
218,Provincia de Buenos Aires,AR
219,Buenos Aires,AR
220,Provincia de Buenos Aires,AR
221,Buenos Aires,AR
222,Buenos Aires,AR
223,Buenos Aires,AR
224,Buenos Aires,AR
225,Buenos Aires,AR
226,Buenos Aires,AR
227,Buenos Aires,AR
228,Provincia de Buenos Aires,AR
229,Buenos Aires,AR
230,Buenos Aires,AR
231,Provincia de Buenos Aires,AR
232,Provincia de Buenos Aires,AR
233,Provincia de Buenos Aires,AR
234,Provincia de Buenos Aires,AR
235,Provincia de Buenos Aires,AR
236,Provincia de Buenos Aires,AR
237,Provincia de Buenos Aires,AR
238,Provincia de Buenos Aires,AR
239,Buenos Aires,AR
240,Buenos Aires,AR
241,Buenos Aires,AR
242,Provincia de Buenos Aires,AR
243,Provincia de Buenos Aires,AR
244,CABA,AR
245,CABA,AR
246,Provincia de Buenos Aires,AR
247,Provincia de Buenos Aires,AR
248,Provincia de Buenos Aires,AR
249,Provincia de Buenos Aires,AR
250,Provincia de Buenos Aires,AR
251,Provincia de Buenos Aires,AR
252,Provincia de Buenos Aires,AR
253,Provincia de Buenos Aires,AR
254,Provincia de Buenos Aires,AR
255,Provincia de Buenos Aires,AR
256,Provincia de Buenos Aires,AR
257,Provincia de Buenos Aires,AR
258,Provincia de Buenos Aires,AR
259,Provincia de Buenos Aires,AR
260,Provincia de Buenos Aires,AR
261,Provincia de Buenos Aires,AR
262,Provincia de Buenos Aires,AR
263,Provincia de Buenos Aires,AR
264,Santa Fe,AR
265,Provincia de Buenos Aires,AR
266,Provincia de Buenos Aires,AR
267,Provincia de Buenos Aires,AR
268,Buenos Aires,AR
269,Provincia de Buenos Aires,AR
270,Buenos Aires,AR
271,Provincia de Buenos Aires,AR
272,Provincia de Buenos Aires,AR
273,Provincia de Buenos Aires,AR
274,Buenos Aires,AR
275,Buenos Aires,AR
276,Provincia de Buenos Aires,AR
277,Buenos Aires,AR
278,CABA,AR
279,Provincia de Buenos Aires,AR
280,Provincia de Buenos Aires,AR
281,Provincia de Buenos Aires,AR
282,Provincia de Buenos Aires,AR
283,CABA,AR
284,CABA,AR
285,Provincia de Buenos Aires,AR
286,Provincia de Buenos Aires,AR
287,Provincia de Buenos Aires,AR
288,Provincia de Buenos Aires,AR
289,Provincia de Buenos Aires,AR
290,Provincia de Buenos Aires,AR
291,Provincia de Buenos Aires,AR
292,Buenos Aires,AR
293,Buenos Aires,AR
294,CABA,AR
295,CABA,AR
296,CABA,AR
297,Buenos Aires,AR
298,Provincia de Buenos Aires,AR
299,Provincia de Buenos Aires,AR
300,Provincia de Buenos Aires,AR
301,Provincia de Buenos Aires,AR
302,Provincia de Buenos Aires,AR
303,Provincia de Buenos Aires,AR
304,Provincia de Buenos Aires,AR
305,Provincia de Buenos Aires,AR
306,Provincia de Buenos Aires,AR
307,Provincia de Buenos Aires,AR
308,Provincia de Buenos Aires,AR
309,Provincia de Buenos Aires,AR
310,Provincia de Buenos Aires,AR
311,Provincia de Buenos Aires,AR
312,Provincia de Buenos Aires,AR
313,Provincia de Buenos Aires,AR
314,Provincia de Buenos Aires,AR
315,Provincia de Buenos Aires,AR
316,Provincia de Buenos Aires,AR
317,CABA,AR
318,Buenos Aires,AR
319,Provincia de Buenos Aires,AR
320,Provincia de Buenos Aires,AR
321,Provincia de Buenos Aires,AR
322,Provincia de Buenos Aires,AR
323,Provincia de Buenos Aires,AR
324,Provincia de Buenos Aires,AR
325,Provincia de Buenos Aires,AR
326,Provincia de Buenos Aires,AR
327,Provincia de Buenos Aires,AR
328,Provincia de Buenos Aires,AR
329,Provincia de Buenos Aires,AR
330,Provincia de Buenos Aires,AR
331,Buenos Aires,AR
332,Provincia de Buenos Aires,AR
333,Provincia de Buenos Aires,AR
334,Provincia de Buenos Aires,AR
335,Provincia de Buenos Aires,AR
336,Provincia de Buenos Aires,AR
337,Provincia de Buenos Aires,AR
338,Provincia de Buenos Aires,AR
339,Provincia de Buenos Aires,AR
340,Provincia de Buenos Aires,AR
341,Provincia de Buenos Aires,AR
342,Provincia de Buenos Aires,AR
343,Provincia de Buenos Aires,AR
344,Provincia de Buenos Aires,AR
345,Provincia de Buenos Aires,AR
346,Provincia de Buenos Aires,AR
347,Provincia de Buenos Aires,AR
348,Provincia de Buenos Aires,AR
349,Provincia de Buenos Aires,AR
350,Provincia de Buenos Aires,AR
351,Provincia de Buenos Aires,AR
352,Provincia de Buenos Aires,AR
353,Provincia de Buenos Aires,AR
354,Provincia de Buenos Aires,AR
355,Provincia de Buenos Aires,AR
356,Provincia de Buenos Aires,AR
357,Provincia de Buenos Aires,AR
358,Provincia de Buenos Aires,AR
359,Provincia de Buenos Aires,AR
360,Provincia de Buenos Aires,AR
361,Provincia de Buenos Aires,AR
362,Buenos Aires,AR
363,Buenos Aires,AR
364,CABA,AR
365,Provincia de Buenos Aires,AR
366,CABA,AR
367,CABA,AR
368,CABA,AR
369,CABA,AR
370,CABA,AR
371,CABA,AR
372,Provincia de Buenos Aires,AR
373,Provincia de Buenos Aires,AR
374,Provincia de Buenos Aires,AR
375,Provincia de Buenos Aires,AR
376,Buenos Aires,AR
377,Provincia de Buenos Aires,AR
378,Buenos Aires,AR
379,La Rioja,AR
380,La Rioja,AR
381,La Rioja,AR
382,La Rioja,AR
383,Provincia de Buenos Aires,AR
384,Provincia de Buenos Aires,AR
385,Provincia de Buenos Aires,AR
386,Provincia de Buenos Aires,AR
387,Provincia de Buenos Aires,AR
388,Provincia de Buenos Aires,AR
389,Provincia de Buenos Aires,AR
390,Provincia de Buenos Aires,AR
391,Buenos Aires,AR
392,CABA,AR
393,CABA,AR
394,CABA,AR
395,CABA,AR
396,CABA,AR
397,CABA,AR
398,Provincia de Buenos Aires,AR
399,CABA,AR
400,CABA,AR
401,CABA,AR
402,Santa Fe,AR
403,Buenos Aires,AR
404,Provincia de Buenos Aires,AR
405,Provincia de Buenos Aires,AR
406,Provincia de Buenos Aires,AR
407,Provincia de Buenos Aires,AR
408,Córdoba,AR
409,Córdoba,AR
410,Provincia de Buenos Aires,AR
